variant,N,P,imb,delta,rep,seconds,rc
parpseq,100000,2,60,0,3,0.012673,0
parpseq,100000,2,65,0,1,0.012993,0
parpseq,100000,2,65,0,2,0.012536,0
parpseq,100000,2,65,0,3,0.012592,0
parpseq,100000,2,70,0,1,0.012674,0
parpseq,100000,2,70,0,2,0.012491,0
parpseq,100000,2,70,0,3,0.012518,0
parpseq,100000,2,75,0,1,0.012622,0
parpseq,100000,2,75,0,2,0.012787,0
parpseq,100000,2,75,0,3,0.012915,0
parpseq,100000,2,80,0,1,0.012514,0
parpseq,100000,2,80,0,2,0.012596,0
parpseq,100000,2,80,0,3,0.012477,0
parpseq,100000,2,85,0,1,0.012714,0
parpseq,100000,2,85,0,2,0.012797,0
parpseq,100000,2,85,0,3,0.012922,0
parpseq,100000,2,90,0,1,0.012692,0
parpseq,100000,2,90,0,2,0.012693,0
parpseq,100000,2,90,0,3,0.012393,0
parpseq,100000,2,95,0,1,0.012771,0
parpseq,100000,2,95,0,2,0.013003,0
parpseq,100000,2,95,0,3,0.012669,0
parpseq,100000,2,100,0,1,0.024379,0
parpseq,100000,2,100,0,2,0.023784,0
parpseq,100000,2,100,0,3,0.034069,0
parpseq,100000,4,0,0,1,0.012653,0
parpseq,100000,4,0,0,2,0.012705,0
parpseq,100000,4,0,0,3,0.012458,0
parpseq,100000,4,5,0,1,0.012714,0
parpseq,100000,4,5,0,2,0.012552,0
parpseq,100000,4,5,0,3,0.012587,0
parpseq,100000,4,10,0,1,0.012597,0
parpseq,100000,4,10,0,2,0.012486,0
parpseq,100000,4,10,0,3,0.012658,0
parpseq,100000,4,15,0,1,0.012471,0
parpseq,100000,4,15,0,2,0.013086,0
parpseq,100000,4,15,0,3,0.012472,0
parpseq,100000,4,20,0,1,0.012637,0
parpseq,100000,4,20,0,2,0.012688,0
parpseq,100000,4,20,0,3,0.012847,0
parpseq,100000,4,25,0,1,0.012726,0
parpseq,100000,4,25,0,2,0.012340,0
parpseq,100000,4,25,0,3,0.013095,0
parpseq,100000,4,30,0,1,0.012841,0
parpseq,100000,4,30,0,2,0.012734,0
parpseq,100000,4,30,0,3,0.013793,0
parpseq,100000,4,35,0,1,0.013307,0
parpseq,100000,4,35,0,2,0.013171,0
parpseq,100000,4,35,0,3,0.012463,0
