variant,N,cutoff,P,rep,seconds,checksum,expected
ribault_c,3000000,512,16,4,0.107384625,3299331579,3299331579
ribault_c,3000000,512,16,5,0.115408698,3299331579,3299331579
ribault_c,3000000,512,16,6,0.115007762,3299331579,3299331579
ribault_c,3000000,512,16,7,0.107054074,3299331579,3299331579
ribault_rust,3000000,512,16,1,0.104426123,3299331579,3299331579
ribault_rust,3000000,512,16,2,0.097204740,3299331579,3299331579
ribault_rust,3000000,512,16,3,0.097902510,3299331579,3299331579
ribault_rust,3000000,512,16,4,0.105062761,3299331579,3299331579
ribault_rust,3000000,512,16,5,0.095795524,3299331579,3299331579
ribault_rust,3000000,512,16,6,0.097757230,3299331579,3299331579
ribault_rust,3000000,512,16,7,0.110054120,3299331579,3299331579
ribault_hs,3000000,512,16,1,0.127850217,3299331579,3299331579
ribault_hs,3000000,512,16,2,0.129535422,3299331579,3299331579
ribault_hs,3000000,512,16,3,0.131910872,3299331579,3299331579
ribault_hs,3000000,512,16,4,0.130220689,3299331579,3299331579
ribault_hs,3000000,512,16,5,0.126196953,3299331579,3299331579
ribault_hs,3000000,512,16,6,0.129024572,3299331579,3299331579
ribault_hs,3000000,512,16,7,0.127459657,3299331579,3299331579
strategies,3000000,512,16,1,0.274379881,3299331579,3299331579
strategies,3000000,512,16,2,0.221457025,3299331579,3299331579
strategies,3000000,512,16,3,0.220328346,3299331579,3299331579
strategies,3000000,512,16,4,0.27478111,3299331579,3299331579
strategies,3000000,512,16,5,0.271667333,3299331579,3299331579
strategies,3000000,512,16,6,0.218361369,3299331579,3299331579
strategies,3000000,512,16,7,0.223224072,3299331579,3299331579
parpseq,3000000,512,16,1,0.361737981,3299331579,3299331579
parpseq,3000000,512,16,2,0.61123431,3299331579,3299331579
parpseq,3000000,512,16,3,0.612119828,3299331579,3299331579
parpseq,3000000,512,16,4,0.612266773,3299331579,3299331579
parpseq,3000000,512,16,5,0.619253101,3299331579,3299331579
parpseq,3000000,512,16,6,0.355802342,3299331579,3299331579
parpseq,3000000,512,16,7,0.611376592,3299331579,3299331579
sucuri,3000000,512,16,1,0.25597740337252617,3299331579,3299331579
sucuri,3000000,512,16,2,0.25528595596551895,3299331579,3299331579
sucuri,3000000,512,16,3,0.25375713035464287,3299331579,3299331579
sucuri,3000000,512,16,4,0.2556557171046734,3299331579,3299331579
sucuri,3000000,512,16,5,0.25179797410964966,3299331579,3299331579
sucuri,3000000,512,16,6,0.2573304660618305,3299331579,3299331579
sucuri,3000000,512,16,7,0.2592715695500374,3299331579,3299331579
ribault_c,3000000,512,19,1,0.107565614,3299331579,3299331579
ribault_c,3000000,512,19,2,0.103611149,3299331579,3299331579
ribault_c,3000000,512,19,3,0.100932801,3299331579,3299331579
ribault_c,3000000,512,19,4,0.108520092,3299331579,3299331579
ribault_c,3000000,512,19,5,0.098241643,3299331579,3299331579
ribault_c,3000000,512,19,6,0.101238796,3299331579,3299331579
ribault_c,3000000,512,19,7,0.103324163,3299331579,3299331579
